cid,firstname,lastname,wins,losses
ADELMRI01 ,Rick,Adelman,902,577
ADUBARI01 ,Richie,Adubato,127,240
AINGEDA01 ,Danny,Ainge,136,90
ALBECST01 ,Stan,Albeck,307,267
ARMSTPA01 ,Paul,Armstrong,22,32
ATTLEAL01 ,Al,Attles,557,518
AUERBRE01 ,Red,Auerbach,938,479
AYERSRA01 ,Randy,Ayers,21,31
BACHJO01  ,John,Bach,95,172
BADGEED01 ,Ed,Badger,84,80
BARKECL01 ,Cliff,Barker,63,57
BaronTo01 ,Tony,Barone,16,36
BarriTo01 ,Tom,Barrise,0,2
BASSBO01  ,Bob,Bass,60,51
BAYLOEL01 ,Elgin,Baylor,86,135
BEARDBU01 ,Butch,Beard,60,104
BEECL01   ,Clair,Bee,32,107
BENNECA01 ,Carl,Bennett,0,6
BERRYBI01 ,Bill,Berry,0,2
BERTKBI01 ,Bill,Bertka,1,0
BIANCAL01 ,Al,Bianchi,53,111
BICKEBE01 ,Bernie,Bickerstaff,414,513
BIRCHPA01 ,Paul,Birch,120,147
BIRDLA01  ,Larry,Bird,147,67
BLAIRBI01 ,Bill,Blair,29,79
BORYLVI01 ,Vince,Boryla,80,85
BowerJe01 ,Jeff,Bower,34,39
BoylaJi01 ,Jim,Boylan,24,32
BRAUNCA01 ,Carl,Braun,40,87
BRISTAL01 ,Allan,Bristow,207,203
BrookSc01 ,Scott,Brooks,72,78
BROVEJI01 ,Jim,Brovelli,5,13
BROWNHE01 ,Herb,Brown,72,74
BROWNHU01 ,Hubie,Brown,424,495
BROWNLA01 ,Larry,Brown,1089,885
BrownMi01 ,Mike,Brown,272,138
BROWNPH01 ,Philip,Brownstein,50,29
BUCKNQU01 ,Quinn,Buckner,13,69
BUCKWBU01 ,Bucky,Buckwalter,13,24
BUDKOWA01 ,Walt,Budko,10,19
BUTCHDO01 ,Donnis,Butcher,52,63
BZDELJE01 ,Jeff,Bzdelik,73,119
CALIPJO01 ,John,Calipari,72,112
CARLEPJ01 ,PJ,Carlesimo,204,297
CarliRi01 ,Rick,Carlisle,386,270
CARRML01  ,ML,Carr,48,116
CARROJO01 ,John,Carroll,14,22
CARTEBU01 ,Butch,Carter,73,92
CARTEFR01 ,Fred,Carter,32,76
CARTWBI01 ,Bill,Cartwright,51,100
CASEYDO01 ,Don,Casey,85,153
CaseyDw01 ,Dwane,Casey,53,69
CASTEJO01 ,John,Castellani,11,25
CERVIAL01 ,Al,Cervi,326,241
CHANEDO01 ,Don,Chaney,317,432
CHEEKMA01 ,Maurice,Cheeks,284,286
CLEAMJI01 ,Jim,Cleamons,28,70
CLIFFRO01 ,Roy,Clifford,13,10
COHALNE01 ,Neil,Cohalan,33,27
COLANJE01 ,Jerry,Colangelo,59,59
COLLIDO01 ,Doug,Collins,332,287
COOPEMI01 ,Michael,Cooper,4,10
COSTELA01 ,Larry,Costello,430,300
COUSYBO01 ,Bob,Cousy,141,209
COWENDA01 ,Dave,Cowens,161,191
CUNNIBI01 ,Billy,Cunningham,454,196
CurryMi01 ,Michael,Curry,39,43
CURTIGL01 ,Glenn,Curtis,12,22
DANTOMI01 ,Mike,D'Antoni,328,275
DALYCH01  ,Chuck,Daly,638,437
DANIEME01 ,Mel,Daniels,0,2
DARDEJI01 ,Jimmy,Darden,11,51
DAVISJO01 ,Johnny,Davis,73,146
DEBUSDA01 ,Dave,DeBusschere,79,143
DEHNEDU01 ,Dutch,Dehnert,17,20
DelneVi01 ,Vinny,Del Negro,82,82
DELANDO01 ,Don,Delaney,7,19
DiLeoTo01 ,Tony,DiLeo,32,27
DOVOVED01 ,Eddie,Dovovan,84,194
DUFFEIK01 ,Ike,Duffey,1,2
DUNLEMI01 ,Mike,Dunleavy,613,716
ECKMACH01 ,Charles,Eckman,123,118
EGANJO01  ,John,Egan,129,152
EVANSMI01 ,Mike,Evans,18,38
