pid,firstname,lastname,dob,position

ABDELAL01,Alaa,Abdelnaby,1968-06-24 00:00:00,F

ABDULKA01,Kareem,Abdul-jabbar,1947-04-16 00:00:00,C

ABDULMA01,Mahmo,Abdul-rauf,1969-03-09 00:00:00,G

ABDULTA01,Tariq,Abdul-wahad,1974-11-03 00:00:00,G

ABERNTO01,Tom,Abernethy,1954-05-06 00:00:00,F

ABLEFO01,Forest,Able,1932-07-27 00:00:00,G

ABRAMJO01,John,Abramovic,1919-02-09 00:00:00,F

ACKERAL01,Alex,Acker,1983-01-21 00:00:00,G

ACKERDO01,Donald,Ackerman,1930-09-04 00:00:00,G

ACRESMA01,Mark,Acres,1962-11-15 00:00:00,C

ACTONCH01,Charles,Acton,1942-01-11 00:00:00,F

ADAMSAL01,Alvan,Adams,1954-07-19 00:00:00,C

ADAMSDO01,Don,Adams,1947-11-27 00:00:00,F

ADAMSGE01,George,Adams,1949-05-15 00:00:00,F

ADAMSMI01,Michael,Adams,1963-01-19 00:00:00,G

AdamsHa01,Hassan,Adams,1984-06-20 00:00:00,G

ADDISRA01,Rafael,Addison,1964-07-22 00:00:00,F

ADELMRI01,Rick,Adelman,1946-06-16 00:00:00,G

AfflaAr01,Arron,Afflalo,1985-11-15 00:00:00,G

AgerMa01,Maurice,Ager,1984-02-09 00:00:00,G

AGUIRMA01,Mark,Aguirre,1959-12-10 00:00:00,F

AhearBl01,Blake,Ahearn,1984-05-27 00:00:00,G

AINGEDA01,Danny,Ainge,1959-03-17 00:00:00,G

AITCHMA01,Matt,Aitch,1944-09-21 00:00:00,F

AjincAl01,Alexis,Ajinca,1988-05-06 00:00:00,C

AKINHE01,Henry,Akin,1944-07-31 00:00:00,C

ALARIMA01,Mark,Alarie,1963-12-11 00:00:00,F

ALCORGA01,Gary,Alcorn,1936-10-08 00:00:00,C

AldriLa01,LaMarcus,Aldridge,1985-07-19 00:00:00,C

ALEKSCH01,Chuck,Aleksinas,1959-02-26 00:00:00,C

ALEXACO01,Cory,Alexander,1973-06-22 00:00:00,G

ALEXACO02,Courtney,Alexander,1977-04-27 00:00:00,G

ALEXAGA01,Gary,Alexander,1969-11-01 00:00:00,F

ALEXAVI01,Victor,Alexander,1969-08-31 00:00:00,C

AlexaJo01,Joe,Alexander,1986-12-26 00:00:00,F

ALFORST01,Steve,Alford,1964-11-23 00:00:00,G

ALLENBI01,Bill,Allen,1945-01-01 00:00:00,C

ALLENBO01,Bob,Allen,1946-07-17 00:00:00,F

ALLENJE01,Jerome,Allen,1973-01-28 00:00:00,G

ALLENLU01,Lucius,Allen,1947-09-26 00:00:00,G

ALLENMA01,Malik,Allen,1978-06-27 00:00:00,F

ALLENRA01,Randy,Allen,1965-01-26 00:00:00,F

ALLENRA02,Ray,Allen,1975-07-20 00:00:00,G

ALLENWI01,Willie,Allen,1949-02-08 00:00:00,F

ALLENTO01,Tony,Allen,1982-01-11 00:00:00,G

ALLISOD01,Odis,Allison,1949-10-02 00:00:00,F

AllreLa01,Lance,Allred,1981-02-02 00:00:00,C

ALLUMDA01,Darrell,Allums,1958-09-12 00:00:00,F

AlmonMo01,Morris,Almond,1985-02-02 00:00:00,G

ALSTODE01,Derrick,Alston,1972-08-20 00:00:00,C

ALSTORA01,Rafer,Alston,1976-07-24 00:00:00,G

ALUMAPE01,Peter,Aluma,1973-04-23 00:00:00,C

AMAECJO01,John,Amaechi,1970-11-26 00:00:00,C

AMAYAAS01,Ashraf,Amaya,1971-11-23 00:00:00,F

AmundLo01,Louis,Amundson,1982-12-07 00:00:00,F

ANDERBO01,Bob,Anderegg,1937-08-24 00:00:00,F

ANDERCH01,Chris,Andersen,1978-07-07 00:00:00,F

AnderDa03,David,Andersen,1980-06-23 00:00:00,F

AnderAn02,Antonio,Anderson,1985-06-05 00:00:00,G

AnderRy01,Ryan,Anderson,1988-05-06 00:00:00,F

ANDERAL01,Alan,Anderson,1982-10-16 00:00:00,G

ANDERCL01,Cliff,Anderson,1944-09-07 00:00:00,G

ANDERDA01,Danw,Anderson,1943-02-15 00:00:00,C

ANDERDA02,Daniel,Anderson,1951-01-01 00:00:00,G

ANDERDE01,Derek,Anderson,1974-07-18 00:00:00,G

ANDERDW01,Dwight,Anderson,1960-12-28 00:00:00,G

ANDERER01,Eric,Anderson,1970-05-26 00:00:00,F

ANDERJE01,Jerome,Anderson,1953-10-09 00:00:00,G

ANDERKE01,Kim,Anderson,1955-05-12 00:00:00,F

ANDERKE02,Kenny,Anderson,1970-10-09 00:00:00,G

ANDERMI01,Mitchell,Anderson,1960-09-23 00:00:00,F

ANDERMI02,Michael,Anderson,1966-03-23 00:00:00,G

ANDERNI01,Nick,Anderson,1968-01-20 00:00:00,G

ANDERRI01,Richard,Anderson,1960-11-19 00:00:00,F

ANDERRO01,Ron,Anderson,1958-10-15 00:00:00,F

ANDERSH01,Shandon,Anderson,1973-12-31 00:00:00,G

ANDERAN01,Andy,Anderson,1945-07-06 00:00:00,G

ANDERCA01,Cadillac,Anderson,1964-06-22 00:00:00,F

ANDERWI01,Willie,Anderson,1967-01-08 00:00:00,G

ANDERWA01,Wally,Anderzunas,1946-01-11 00:00:00,C

ANDRIMA01,Martynas,Andriuskevicius,1986-03-12 00:00:00,F

ANIELDO01,Don,Anielak,1930-11-01 00:00:00,F

ANSLEMI01,Michael,Ansley,1967-02-08 00:00:00,F

ANSTECH01,Chris,Anstey,1975-01-01 00:00:00,C

ANTHOGR01,Greg,Anthony,1967-11-15 00:00:00,G

AnthoJo01,Joel,Anthony,1982-08-09 00:00:00,C

ANTHOCA01,Carmelo,Anthony,1984-05-29 00:00:00,F

ARAUJRA01,Rafael,Araujo,1980-08-12 00:00:00,C

ARCENST01,Stacey,Arceneaux,1936-02-17 00:00:00,F

ARCHINA01,Nate,Archibald,1948-09-02 00:00:00,G

ARCHIRO01,Robert,Archibald,1980-03-29 00:00:00,F

ARDJI01,Jim,Ard,1948-09-19 00:00:00,C

ARENAGI01,Gilbert,Arenas,1982-01-06 00:00:00,G

ARIZATR01,Trevor,Ariza,1985-06-30 00:00:00,F

ARIZIPA01,Paul,Arizin,1928-04-09 00:00:00,F

ARLAUJO01,Joe,Arlauckas,1965-07-20 00:00:00,F

ARMSTBJ01,B.j.,Armstrong,1967-09-09 00:00:00,G

ARMSTBO01,Bob,Armstrong,1933-06-17 00:00:00,C

ARMSTBR01,Brandon,Armstrong,1980-06-16 00:00:00,G

ARMSTDA01,Darrell,Armstrong,1968-06-22 00:00:00,G

ARMSTPA01,Paul,Armstrong,1918-11-01 00:00:00,G

ARMSTTA01,Tate,Armstrong,1955-10-05 00:00:00,G

ArmstHi01,Hilton,Armstrong,1984-11-23 00:00:00,C

ARNELJE01,Jesse,Arnelle,1933-12-30 00:00:00,F

ARNETJA01,Jay,Arnette,1938-12-19 00:00:00,G

ARNZEBO01,Bob,Arnzen,1947-11-03 00:00:00,F

ARROYCA01,Carlos,Arroyo,1979-07-30 00:00:00,G

ARTESRO01,Ron,Artest,1979-11-13 00:00:00,F

ArthuDa01,Darrell,Arthur,1988-03-25 00:00:00,F

ARTHUJO01,John,Arthurs,1947-08-15 00:00:00,G

ASKEWVI01,Vincent,Askew,1966-02-28 00:00:00,G

ASKINKE01,Keith,Askins,1967-12-15 00:00:00,F

ASMONDO01,Don,Asmonga,1928-02-15 00:00:00,G

ATHARI01,Richard,Atha,1931-09-21 00:00:00,G

ATKINCH01,Chucky,Atkins,1974-08-14 00:00:00,G

ATTLEAL01,Alvin,Attles,1936-11-07 00:00:00,G

