cid,firstname,lastname,wins,losses
ADELMRI01 ,Rick,Adelman,902,577
ADUBARI01 ,Richie,Adubato,127,240
AINGEDA01 ,Danny,Ainge,136,90
ALBECST01 ,Stan,Albeck,307,267
ARMSTPA01 ,Paul,Armstrong,22,32
ATTLEAL01 ,Al,Attles,557,518
AUERBRE01 ,Red,Auerbach,938,479
AYERSRA01 ,Randy,Ayers,21,31
BACHJO01  ,John,Bach,95,172
BADGEED01 ,Ed,Badger,84,80
BARKECL01 ,Cliff,Barker,63,57
BaronTo01 ,Tony,Barone,16,36
BarriTo01 ,Tom,Barrise,0,2
BASSBO01  ,Bob,Bass,60,51
BAYLOEL01 ,Elgin,Baylor,86,135
BEARDBU01 ,Butch,Beard,60,104
BEECL01   ,Clair,Bee,32,107
BENNECA01 ,Carl,Bennett,0,6
BERRYBI01 ,Bill,Berry,0,2
BERTKBI01 ,Bill,Bertka,1,0
BIANCAL01 ,Al,Bianchi,53,111
BICKEBE01 ,Bernie,Bickerstaff,414,513
BIRCHPA01 ,Paul,Birch,120,147
BIRDLA01  ,Larry,Bird,147,67
BLAIRBI01 ,Bill,Blair,29,79
BORYLVI01 ,Vince,Boryla,80,85
BowerJe01 ,Jeff,Bower,34,39
BoylaJi01 ,Jim,Boylan,24,32
BRAUNCA01 ,Carl,Braun,40,87
BRISTAL01 ,Allan,Bristow,207,203
BrookSc01 ,Scott,Brooks,72,78
BROVEJI01 ,Jim,Brovelli,5,13
BROWNHE01 ,Herb,Brown,72,74
BROWNHU01 ,Hubie,Brown,424,495
BROWNLA01 ,Larry,Brown,1089,885
BrownMi01 ,Mike,Brown,272,138
BROWNPH01 ,Philip,Brownstein,50,29
BUCKNQU01 ,Quinn,Buckner,13,69
BUCKWBU01 ,Bucky,Buckwalter,13,24
BUDKOWA01 ,Walt,Budko,10,19
BUTCHDO01 ,Donnis,Butcher,52,63
BZDELJE01 ,Jeff,Bzdelik,73,119
