year,cid,tid,win,loss
204,HAMBLFR01 ,LAL,10,29
1946,RUSSEJO01 ,BOS,22,38
1946,OLSENHA01 ,CH1,39,22
1946,DEHNEDU01 ,CL1,17,20
1946,CLIFFRO01 ,CL1,13,10
1946,CURTIGL01 ,DE1,12,22
1946,SACHSPH01 ,DE1,8,18
1946,COHALNE01 ,NYK,33,27
1946,GOTTLED01 ,PH1,35,25
1946,BIRCHPA01 ,PIT,15,45
1946,MORRIRO01 ,PRO,28,32
1946,LOEFFKE01 ,ST1,38,23
1946,FITZGDI01 ,TO1,2,1
1946,SADOWED01 ,TO1,3,9
1946,HAYMALE01 ,TO1,0,1
1946,ROLFERO01 ,TO1,17,27
1946,AUERBRE01 ,WSC,49,11
1947,JEANNBU01 ,BA1,28,20
1947,RUSSEJO01 ,BOS,20,28
1947,OLSENHA01 ,CH1,28,20
1947,LAPCHJO01 ,NYK,26,22
1947,GOTTLED01 ,PH1,27,21
1947,HICKENA01 ,PRO,4,25
1947,SOARAL01  ,PRO,2,17
1947,LOEFFKE01 ,ST1,29,19
1947,AUERBRE01 ,WSC,28,20
1948,JEANNBU01 ,BA1,29,31
1948,JULIAAL01 ,BOS,25,35
1948,OLSENHA01 ,CH1,28,21
1948,BROWNPH01 ,CH1,10,1
1948,BENNECA01 ,DET,0,6
1948,ARMSTPA01 ,DET,22,32
1948,HALEBR01  ,INJ,4,13
1948,FRIDDBU01 ,INJ,14,29
1948,KUNDLJO01 ,MIE,44,16
1948,LAPCHJO01 ,NYK,32,28
1948,GOTTLED01 ,PH1,28,32
1948,LOEFFKE01 ,PRO,12,48
1948,HARRILE01 ,ROC,45,15
1948,LEWISGR01 ,ST1,29,31
1948,AUERBRE01 ,WSC,38,22
1949,SCHULHO01 ,AND,21,14
1949,DUFFEIK01 ,AND,1,2
1949,MOOREDO01 ,AND,15,11
1949,JEANNBU01 ,BA1,25,43
1949,JULIAAL01 ,BOS,22,46
1949,BROWNPH01 ,CH1,40,28
1949,MENDEMU01 ,DET,40,28
1949,DARDEJI01 ,DN1,11,51
1949,BARKECL01 ,INI,39,25
1949,KUNDLJO01 ,MIE,51,17
1949,LAPCHJO01 ,NYK,40,28
1949,GOTTLED01 ,PH1,26,42
1949,HARRILE01 ,ROC,51,17
1949,SUESEKE01 ,SHE,22,40
1949,LEWISGR01 ,ST1,26,42
1949,CERVIAL01 ,SYR,51,13
1949,AUERBRE01 ,TRI,28,29
1949,POTTERO01 ,TRI,1,6
1949,SHIPPCH01 ,WAT,8,27
1949,SMILEJA01 ,WAT,11,16
1949,FEERIBO01 ,WSC,32,36
1950,JEANNBU01 ,BA1,14,23
1950,BUDKOWA01 ,BA1,10,19
1950,AUERBRE01 ,BOS,39,30
1950,MENDEMU01 ,DET,32,36
1950,BARKECL01 ,INI,24,32
1950,JONESWA01 ,INI,7,5
1950,KUNDLJO01 ,MIE,44,24
1950,LAPCHJO01 ,NYK,36,30
1950,GOTTLED01 ,PH1,40,26
1950,HARRILE01 ,ROC,41,27
1950,CERVIAL01 ,SYR,32,34
1950,LOGANJO01 ,TRI,2,1
1950,TODORMI01 ,TRI,14,28
1950,MCMILDA01 ,TRI,9,14
1950,MCKINHO01 ,WSC,10,25
1951,SCOLAFR01 ,BA1,12,27
1951,REISECH01 ,BA1,8,19
1951,AUERBRE01 ,BOS,39,27
1951,BIRCHPA01 ,DET,29,37
1951,SCHAEHE01 ,INI,34,32
1951,MOOREDO01 ,MI1,17,49
1951,KUNDLJO01 ,MIE,40,26
1951,LAPCHJO01 ,NYK,37,29
1951,GOTTLED01 ,PH1,33,33
1951,HARRILE01 ,ROC,41,25
1951,CERVIAL01 ,SYR,40,26
1952,REISECH01 ,BA1,0,3
1952,BEECL01   ,BA1,16,51
1952,AUERBRE01 ,BOS,46,25
1952,BIRCHPA01 ,DET,36,33
1952,SCHAEHE01 ,INI,28,43
1952,LEVANAN01 ,MI1,27,44
1952,KUNDLJO01 ,MIE,48,22
1952,LAPCHJO01 ,NYK,47,23
1952,GOTTLED01 ,PH1,12,57
1952,HARRILE01 ,ROC,44,26
1952,CERVIAL01 ,SYR,47,24
1953,BEECL01   ,BA1,16,56
1953,AUERBRE01 ,BOS,42,30
1953,BIRCHPA01 ,DET,40,32
1953,LEVANAN01 ,MI1,11,35
1953,HOLZMRE01 ,MI1,10,16
1953,KUNDLJO01 ,MIE,46,26
1953,LAPCHJO01 ,NYK,44,28
1953,GOTTLED01 ,PH1,29,43
1953,HARRILE01 ,ROC,44,28
1953,CERVIAL01 ,SYR,42,30
1954,AUERBRE01 ,BOS,36,36
1954,ECKMACH01 ,FTW,43,29
1954,HOLZMRE01 ,MI1,26,46
1954,KUNDLJO01 ,MIE,40,32
1954,LAPCHJO01 ,NYK,38,34
1954,GOTTLED01 ,PH1,33,39
1954,HARRILE01 ,ROC,29,43
1954,CERVIAL01 ,SYR,43,29
1955,AUERBRE01 ,BOS,39,33
1955,ECKMACH01 ,FTW,37,35
1955,KUNDLJO01 ,MIE,33,39
1955,LAPCHJO01 ,NYK,26,25
1955,BORYLVI01 ,NYK,9,12
1955,SENESGE01 ,PH1,45,27
1955,WANZEBO01 ,ROC,31,41
1955,HOLZMRE01 ,STL,33,39
1955,CERVIAL01 ,SYR,35,37
1956,AUERBRE01 ,BOS,44,28
1956,ECKMACH01 ,FTW,34,38
1956,KUNDLJO01 ,MIE,34,38
1956,BORYLVI01 ,NYK,36,36
1956,SENESGE01 ,PH1,37,35
1956,WANZEBO01 ,ROC,31,41
1956,HOLZMRE01 ,STL,14,19
1956,MARTISL01 ,STL,5,3
1956,HANNUAL01 ,STL,15,16
1956,CERVIAL01 ,SYR,4,8
1956,SEYMOPA01 ,SYR,34,26
1957,AUERBRE01 ,BOS,49,23
1957,WANZEBO01 ,CIN,33,39
1957,ECKMACH01 ,DET,9,16
1957,ROCHAEP01 ,DET,24,23
1957,MIKANGE01 ,MIE,9,30
1957,KUNDLJO01 ,MIE,10,23
1957,BORYLVI01 ,NYK,35,37
1957,SENESGE01 ,PH1,37,35
1957,HANNUAL01 ,STL,41,31
1957,SEYMOPA01 ,SYR,41,31
1958,AUERBRE01 ,BOS,52,20
1958,WANZEBO01 ,CIN,3,15
1958,MARSHTO01 ,CIN,16,38
1958,ROCHAEP01 ,DET,28,44
1958,KUNDLJO01 ,MIE,33,39
1958,LEVANAN01 ,NYK,40,32
1958,CERVIAL01 ,PH1,32,40
1958,PHILLAN01 ,STL,6,4
1958,MACAUED01 ,STL,43,19
1958,SEYMOPA01 ,SYR,35,37
1959,AUERBRE01 ,BOS,59,16
1959,MARSHTO01 ,CIN,19,56
1959,ROCHAEP01 ,DET,13,21
1959,MCGUIDI01 ,DET,17,24
1959,CASTEJO01 ,MIE,11,25
1959,POLLAJI01 ,MIE,14,25
1959,LEVANAN01 ,NYK,8,19
1959,BRAUNCA01 ,NYK,19,29
1959,JOHNSNE01 ,PH1,49,26
1959,MACAUED01 ,STL,46,29
1959,SEYMOPA01 ,SYR,45,30
1960,AUERBRE01 ,BOS,57,22
1960,WOLFCH01  ,CIN,33,46
1960,MCGUIDI01 ,DET,34,45
1960,SCHAUFR01 ,LAL,36,43
1960,BRAUNCA01 ,NYK,21,58
1960,JOHNSNE01 ,PH1,46,33
1960,SEYMOPA01 ,STL,51,28
1960,HANNUAL01 ,SYR,38,41
1961,AUERBRE01 ,BOS,60,20
1961,POLLAJI01 ,CH2,18,62
1961,WOLFCH01  ,CIN,43,37
1961,MCGUIDI01 ,DET,37,43
1961,SCHAUFR01 ,LAL,54,26
1961,DOVOVED01 ,NYK,29,51
1961,MCGUIFR01 ,PH1,49,31
1961,SEYMOPA01 ,STL,5,9
1961,LEVANAN01 ,STL,20,40
1961,PETTIBO01 ,STL,4,2
1961,HANNUAL01 ,SYR,41,39
1962,AUERBRE01 ,BOS,58,22
1962,MCMAHJA01 ,CH2,12,26
1962,LEONABO01 ,CH2,13,29
1962,WOLFCH01  ,CIN,42,38
1962,MCGUIDI01 ,DET,34,46
1962,SCHAUFR01 ,LAL,53,27
1962,DOVOVED01 ,NYK,21,59
1962,FEERIBO01 ,SFW,31,49
1962,GALLAHA01 ,STL,48,32
1962,HANNUAL01 ,SYR,48,32
1963,LEONABO01 ,BAL,31,49
1963,AUERBRE01 ,BOS,59,21
1963,MCMAHJA01 ,CIN,55,25
1963,WOLFCH01  ,DET,23,57
1963,SCHAUFR01 ,LAL,42,38
1963,DOVOVED01 ,NYK,22,58
1963,SCHAYDO01 ,PHI,34,46
1963,HANNUAL01 ,SFW,48,32
1963,GALLAHA01 ,STL,46,34
1964,JEANNBU01 ,BAL,37,43
1964,AUERBRE01 ,BOS,62,18
1964,MCMAHJA01 ,CIN,48,32
