pid,year,team,leag,ppg,rpg,apg

ABRAMJO01,1946,PIT,N,11.21276596,0,0.744680851

AUBUCCH01,1946,DE1,N,2.166666667,0,0.666666667

BAKERNO01,1946,CH1,N,0,0,0

BALTIHE01,1946,ST1,N,2.379310345,0,0.275862069

BARRJO01,1946,ST1,N,5.086206897,0,0.931034483

BAUMHFR01,1946,CL1,N,14.02222222,0,1.2

BECKEMO01,1946,BOS,N,2.166666667,0,0.166666667

BECKEMO01,1946,DE1,N,2.05,0,0.75

BECKEMO01,1946,PIT,N,6.352941176,0,0.823529412

BECKEMO01,1946,TOT,N,3.76744186,0,0.697674419

BEENDHA01,1946,PRO,N,12.29310345,0,0.637931034

BIASAHA01,1946,TOR,N,0,0,0

BRIGHAL01,1946,BOS,N,9.775862069,0,1.034482759

BRINDAU01,1946,NYK,N,2.833333333,0,0.083333333

BROWNHA01,1946,DE1,N,4.888888889,0,0.722222222

BROWNLE01,1946,CL1,N,0,0,0

BYRNETO01,1946,NYK,N,7.55,0,0.583333333

BYTZUMI01,1946,PIT,N,3.5,0,0.516666667

CALLATO01,1946,PRO,N,1.307692308,0,0.307692308

CALVEER01,1946,PRO,N,14.3220339,0,3.423728814

CARLICH01,1946,CH1,N,5.019607843,0,0.333333333

CARLSDO01,1946,CH1,N,10.6779661,0,1

CLUGGMA01,1946,NYK,N,4.407407407,0,0.407407407

CONNOCH01,1946,BOS,N,4.632653061,0,0.816326531

CORLEKE01,1946,CL1,N,0,0,0

CRISLHA01,1946,BOS,N,1.5,0,0

CUREAR01,1946,PRO,N,0,0,0

DALLMHO01,1946,PH1,N,8.8,0,1.733333333

DAVISAU01,1946,ST1,N,4.86440678,0,0.237288136

DAVISBI01,1946,CH1,N,1.787234043,0,0.234042553

DEHNEHE01,1946,PRO,N,1.4,0,0

DILLEBO01,1946,DE1,N,5.192982456,0,0.701754386

DOLLBO01,1946,ST1,N,8.7,0,0.366666667

DUFFYBO01,1946,BOS,N,1.333333333,0,0

DUFFYBO01,1946,CH1,N,0,0,0

DUFFYBO01,1946,TOT,N,1.117647059,0,0

ELIASDO01,1946,BOS,N,0,0,0

ENDRENE01,1946,CL1,N,0,0,0.25

FABELJO01,1946,PIT,N,2.1,0,0.066666667

FAUGHBO01,1946,CL1,N,6.725490196,0,0.647058824

FEERIBO01,1946,WSC,N,16.83636364,0,1.254545455

FENLEBI01,1946,BOS,N,2.575757576,0,0.484848485

FITZGBO01,1946,NYK,N,2.827586207,0,0.310344828

FITZGBO01,1946,TOT,N,3.683333333,0,0.583333333

FITZGBO01,1946,TO1,N,4.483870968,0,0.838709677

