year,team,leag,won,lost,finish
1946,PIT,N,15,45,11
1946,DE1,N,20,40,10
1946,BOS,N,22,38,9
1946,TO1,N,22,38,8
1946,PRO,N,28,32,7
1946,CL1,N,30,30,6
1946,NYK,N,33,27,5
1946,PH1,N,35,25,4
1946,ST1,N,38,23,3
1946,CH1,N,39,22,2
1946,WSC,N,49,11,1
1947,PRO,N,6,42,8
1947,BOS,N,20,28,7
1947,NYK,N,26,22,6
1947,PH1,N,27,21,5
1947,BA1,N,28,20,4
1947,CH1,N,28,20,3
1947,WSC,N,28,20,2
1947,ST1,N,29,19,1
1948,PRO,N,12,48,12
1948,INJ,N,18,42,11
1948,FTW,N,22,38,10
1948,BOS,N,25,35,9
1948,PH1,N,28,32,8
1948,BA1,N,29,31,7
1948,ST1,N,29,31,6
1948,NYK,N,32,28,5
1948,CH1,N,38,22,4
1948,WSC,N,38,22,3
1948,MIE,N,44,16,2
1948,ROC,N,45,15,1
1949,DN1,N,11,51,17
1949,WAT,N,19,43,16
1949,BOS,N,22,46,15
1949,SHE,N,22,40,14
1949,BA1,N,25,43,13
1949,PH1,N,26,42,12
1949,ST1,N,26,42,11
1949,TRI,N,29,35,10
1949,WSC,N,32,36,9
1949,AND,N,37,27,8
1949,INI,N,39,25,7
1949,CH1,N,40,28,6
1949,FTW,N,40,28,5
1949,NYK,N,40,28,4
1949,MIE,N,51,17,3
1949,ROC,N,51,17,2
1949,SYR,N,51,13,1
1950,WSC,N,10,25,11
1950,BA1,N,24,42,10
1950,TRI,N,25,43,9
1950,INI,N,31,37,8
1950,FTW,N,32,36,7
1950,SYR,N,32,34,6
1950,NYK,N,36,30,5
1950,BOS,N,39,30,4
1950,PH1,N,40,26,3
1950,ROC,N,41,27,2
1950,MIE,N,44,24,1
1951,MI1,N,17,49,10
1951,BA1,N,20,46,9
1951,FTW,N,29,37,8
1951,PH1,N,33,33,7
1951,INI,N,34,32,6
1951,NYK,N,37,29,5
1951,BOS,N,39,27,4
1951,MIE,N,40,26,3
1951,SYR,N,40,26,2
1951,ROC,N,41,25,1
1952,PH1,N,12,57,10
1952,BA1,N,16,54,9
1952,MI1,N,27,44,8
1952,INI,N,28,43,7
1952,FTW,N,36,33,6
1952,ROC,N,44,26,5
1952,BOS,N,46,25,4
1952,SYR,N,47,24,3
1952,NYK,N,47,23,2
1952,MIE,N,48,22,1
1953,BA1,N,16,56,9
1953,MI1,N,21,51,8
1953,PH1,N,29,43,7
1953,FTW,N,40,32,6
1953,BOS,N,42,30,5
1953,SYR,N,42,30,4
1953,NYK,N,44,28,3
1953,ROC,N,44,28,2
1953,MIE,N,46,26,1
1954,MI1,N,26,46,8
1954,ROC,N,29,43,7
1954,PH1,N,33,39,6
1954,BOS,N,36,36,5
1954,NYK,N,38,34,4
1954,MIE,N,40,32,3
1954,FTW,N,43,29,2
1954,SYR,N,43,29,1
1955,ROC,N,31,41,8
1955,MIE,N,33,39,7
1955,STL,N,33,39,6
1955,NYK,N,35,37,5
1955,SYR,N,35,37,4
1955,FTW,N,37,35,3
1955,BOS,N,39,33,2
1955,PH1,N,45,27,1
1956,ROC,N,31,41,8
1956,FTW,N,34,38,7
1956,MIE,N,34,38,6
1956,STL,N,34,38,5
1956,NYK,N,36,36,4
1956,PH1,N,37,35,3
1956,SYR,N,38,34,2
1956,BOS,N,44,28,1
1957,MIE,N,19,53,8
1957,CIN,N,33,39,7
1957,DET,N,33,39,6
1957,NYK,N,35,37,5
1957,PH1,N,37,35,4
1957,STL,N,41,31,3
1957,SYR,N,41,31,2
1957,BOS,N,49,23,1
1958,CIN,N,19,53,8
1958,DET,N,28,44,7
1958,PH1,N,32,40,6
1958,MIE,N,33,39,5
1958,SYR,N,35,37,4
1958,NYK,N,40,32,3
1958,STL,N,49,23,2
1958,BOS,N,52,20,1
1959,CIN,N,19,56,8
1959,MIE,N,25,50,7
1959,NYK,N,27,48,6
1959,DET,N,30,45,5
1959,SYR,N,45,30,4
1959,STL,N,46,29,3
1959,PH1,N,49,26,2
1959,BOS,N,59,16,1
1960,NYK,N,21,58,8
1960,CIN,N,33,46,7
1960,DET,N,34,45,6
1960,LAL,N,36,43,5
1960,SYR,N,38,41,4
1960,PH1,N,46,33,3
1960,STL,N,51,28,2
1960,BOS,N,57,22,1
1961,CH3,N,18,62,9
1961,NYK,N,29,51,8
1961,STL,N,29,51,7
1961,DET,N,37,43,6
1961,SYR,N,41,39,5
1961,CIN,N,43,37,4
1961,PH1,N,49,31,3
1961,LAL,N,54,26,2
1961,BOS,N,60,20,1
1962,NYK,N,21,59,9
1962,CH2,N,25,55,8
1962,SFW,N,31,49,7
1962,DET,N,34,46,6
1962,CIN,N,42,38,5
1962,STL,N,48,32,4
1962,SYR,N,48,32,3
1962,LAL,N,53,27,2
1962,BOS,N,58,22,1
1963,NYK,N,22,58,9
1963,DET,N,23,57,8
1963,BAL,N,31,49,7
1963,PHI,N,34,46,6
1963,LAL,N,42,38,5
1963,STL,N,46,34,4
1963,SFW,N,48,32,3
1963,CIN,N,55,25,2
1963,BOS,N,59,21,1
1964,SFW,N,17,63,9
1964,DET,N,31,49,8
1964,NYK,N,31,49,7
1964,BAL,N,37,43,6
1964,PHI,N,40,40,5
1964,STL,N,45,35,4
1964,CIN,N,48,32,3
1964,LAL,N,49,31,2
1964,BOS,N,62,18,1
1965,DET,N,22,58,9
1965,NYK,N,30,50,8
1965,SFW,N,35,45,7
1965,STL,N,36,44,6
1965,BAL,N,38,42,5
1965,CIN,N,45,35,4
1965,LAL,N,45,35,3
1965,BOS,N,54,26,2
1965,PHI,N,55,25,1
1966,BAL,N,20,61,10
1966,DET,N,30,51,9
1966,CHI,N,33,48,8
1966,LAL,N,36,45,7
1966,NYK,N,36,45,6
1966,CIN,N,39,42,5
1966,STL,N,39,42,4
1966,SFW,N,44,37,3
1966,BOS,N,60,21,2
1966,PHI,N,68,13,1
1967,SDR,N,15,67,23
1967,OAK,A,22,56,22
1967,SEA,N,23,59,21
1967,ANA,A,25,53,20
1967,CHI,N,29,53,19
1967,HMV,A,29,49,18
1967,BAL,N,36,46,17
1967,KEN,A,36,42,16
1967,NJA,A,36,42,15
1967,IND,A,38,40,14
1967,CIN,N,39,43,13
1967,DET,N,40,42,12
1967,NYK,N,43,39,11
1967,SFW,N,43,39,10
1967,DEN,A,45,33,9
1967,DLC,A,46,32,8
1967,NOB,A,48,30,7
1967,MNM,A,50,28,6
1967,LAL,N,52,30,5
1967,BOS,N,54,28,4
1967,PTP,A,54,24,3
1967,STL,N,56,26,2
1967,PHI,N,62,20,1
1968,PHO,N,16,66,25
1968,NYN,A,17,61,24
1968,HMV,A,23,55,23
1968,MIL,N,27,55,22
1968,SEA,N,30,52,21
1968,DET,N,32,50,20
1968,CHI,N,33,49,19
1968,LAS,A,33,45,18
1968,MNP,A,36,42,17
1968,SDR,N,37,45,16
1968,CIN,N,41,41,15
1968,SFW,N,41,41,14
1968,DLC,A,41,37,13
1968,KEN,A,42,36,12
1968,MFL,A,43,35,11
1968,DEN,A,44,34,10
1968,IND,A,44,34,9
1968,NOB,A,46,32,8
1968,ATL,N,48,34,7
1968,BOS,N,48,34,6
1968,NYK,N,54,28,5
1968,LAL,N,55,27,4
1968,PHI,N,55,27,3
1968,BAL,N,57,25,2
1968,OAK,A,60,18,1
1969,MFL,A,23,61,25
1969,SDR,N,27,55,24
1969,PTC,A,29,55,23
1969,SFW,N,30,52,22
1969,DET,N,31,51,21
1969,BOS,N,34,48,20
1969,CIN,N,36,46,19
1969,SEA,N,36,46,18
1969,NYN,A,39,45,17
1969,CHI,N,39,43,16
1969,PHO,N,39,43,15
1969,CAR,A,42,42,14
1969,NOB,A,42,42,13
1969,PHI,N,42,40,12
1969,LAS,A,43,41,11
1969,WAC,A,44,40,10
1969,DLC,A,45,39,9
1969,KEN,A,45,39,8
1969,LAL,N,46,36,7
1969,ATL,N,48,34,6
1969,BAL,N,50,32,5
1969,DEN,A,51,33,4
1969,MIL,N,56,26,3
1969,IND,A,59,25,2
1969,NYK,N,60,22,1
1970,CLE,N,15,67,28
1970,BUF,N,22,60,27
1970,POR,N,29,53,26
1970,DEN,A,30,54,25
1970,TEX,A,30,54,24
1970,CIN,N,33,49,23
1970,CAR,A,34,50,22
1970,PTC,A,36,48,21
1970,ATL,N,36,46,20
1970,FLA,A,37,47,19
1970,SEA,N,38,44,18
1970,NYN,A,40,44,17
1970,SDR,N,40,42,16
1970,MMP,A,41,43,15
1970,SFW,N,41,41,14
1970,BAL,N,42,40,13
1970,KEN,A,44,40,12
1970,BOS,N,44,38,11
1970,DET,N,45,37,10
1970,PHI,N,47,35,9
1970,LAL,N,48,34,8
1970,PHO,N,48,34,7
1970,CHI,N,51,31,6
1970,NYK,N,52,30,5
1970,VIR,A,55,29,4
1970,UTS,A,57,27,3
1970,IND,A,58,26,2
1970,MIL,N,66,16,1
1971,POR,N,18,64,28
1971,BUF,N,22,60,27
1971,CLE,N,23,59,26
1971,PTC,A,25,59,25
1971,MMP,A,26,58,24
1971,DET,N,26,56,23
1971,CIN,N,30,52,22
1971,PHI,N,30,52,21
1971,DEN,A,34,50,20
1971,HOU,N,34,48,19
1971,CAR,A,35,49,18
1971,FLA,A,36,48,17
1971,ATL,N,36,46,16
1971,BAL,N,38,44,15
1971,DLC,A,42,42,14
1971,NYN,A,44,40,13
1971,VIR,A,45,39,12
